,Date,Date_local,Forecast Pool Price,pool_price,Forecast AIL,Actual AIL,Forecast AIL & Actual AIL Difference,h,cos_h,sin_h,week,cos_w,sin_w,month,cos_m,sin_m
0,2022-01-01 00:00:00+00:00,2021-12-31 17:00:00-07:00,777.43,788.92,11499,11614,-115,17,-0.068242413,-0.997668769,52,1,6.43E-16,12,1,-2.45E-16
1,2022-01-01 01:00:00+00:00,2021-12-31 18:00:00-07:00,710.27,670.83,11512,11512,0,18,0.203456013,-0.979084088,52,1,6.43E-16,12,1,-2.45E-16
2,2022-01-01 02:00:00+00:00,2021-12-31 19:00:00-07:00,77.33,129.11,11380,11328,52,19,0.460065038,-0.887885218,52,1,6.43E-16,12,1,-2.45E-16
3,2022-01-01 03:00:00+00:00,2021-12-31 20:00:00-07:00,65.2,70.25,11206,11279,-73,20,0.682553143,-0.730835964,52,1,6.43E-16,12,1,-2.45E-16
4,2022-01-01 04:00:00+00:00,2021-12-31 21:00:00-07:00,66.28,70.94,11162,11181,-19,21,0.854419405,-0.51958395,52,1,6.43E-16,12,1,-2.45E-16
5,2022-01-01 05:00:00+00:00,2021-12-31 22:00:00-07:00,67.4,69.89,11000,11046,-46,22,0.962917287,-0.269796771,52,1,6.43E-16,12,1,-2.45E-16
6,2022-01-01 06:00:00+00:00,2021-12-31 23:00:00-07:00,67.82,66.17,10866,10902,-36,23,1,-2.45E-16,52,1,6.43E-16,12,1,-2.45E-16
7,2022-01-01 07:00:00+00:00,2022-01-01 00:00:00-07:00,68.22,65.64,10793,10746,47,0,1,0,52,1,6.43E-16,1,0.866025404,0.5
8,2022-01-01 08:00:00+00:00,2022-01-01 01:00:00-07:00,63.52,61.59,10686,10618,68,1,0.962917287,0.269796771,52,1,6.43E-16,1,0.866025404,0.5
9,2022-01-01 09:00:00+00:00,2022-01-01 02:00:00-07:00,54.71,56.67,10556,10499,57,2,0.854419405,0.51958395,52,1,6.43E-16,1,0.866025404,0.5
10,2022-01-01 10:00:00+00:00,2022-01-01 03:00:00-07:00,51.36,45.58,10445,10451,-6,3,0.682553143,0.730835964,52,1,6.43E-16,1,0.866025404,0.5
11,2022-01-01 11:00:00+00:00,2022-01-01 04:00:00-07:00,59.3,57.39,10473,10408,65,4,0.460065038,0.887885218,52,1,6.43E-16,1,0.866025404,0.5
12,2022-01-01 12:00:00+00:00,2022-01-01 05:00:00-07:00,58.71,58.11,10390,10401,-11,5,0.203456013,0.979084088,52,1,6.43E-16,1,0.866025404,0.5
13,2022-01-01 13:00:00+00:00,2022-01-01 06:00:00-07:00,54.02,53.37,10436,10438,-2,6,-0.068242413,0.997668769,52,1,6.43E-16,1,0.866025404,0.5
14,2022-01-01 14:00:00+00:00,2022-01-01 07:00:00-07:00,36.62,41.23,10478,10529,-51,7,-0.334879612,0.942260922,52,1,6.43E-16,1,0.866025404,0.5
15,2022-01-01 15:00:00+00:00,2022-01-01 08:00:00-07:00,40.93,40.92,10598,10576,22,8,-0.576680322,0.816969893,52,1,6.43E-16,1,0.866025404,0.5
