,Date,Date_local,pool_price,pv_power,temperature,wind_power,wind_speed,h,cos_h,sin_h,week,cos_w,sin_w,month,cos_m,sin_m,workday
0,2022-01-01 00:00:00+00:00,2022-01-01 01:00:00+01:00,59.9285,0,7.601,1900.744,10.423,1,0.962917287,0.269796771,52,1,6.43E-16,1,0.866025404,0.5,0
1,2022-01-01 01:00:00+00:00,2022-01-01 02:00:00+01:00,62.669,0,7.652,1924.543,10.564,2,0.854419405,0.51958395,52,1,6.43E-16,1,0.866025404,0.5,0
2,2022-01-01 02:00:00+00:00,2022-01-01 03:00:00+01:00,65.917,0,7.739,1941.502,10.663,3,0.682553143,0.730835964,52,1,6.43E-16,1,0.866025404,0.5,0
3,2022-01-01 03:00:00+00:00,2022-01-01 04:00:00+01:00,54.6215,0,7.673,1888.168,10.362,4,0.460065038,0.887885218,52,1,6.43E-16,1,0.866025404,0.5,0
4,2022-01-01 04:00:00+00:00,2022-01-01 05:00:00+01:00,57.565,0,7.516,1920.721,10.542,5,0.203456013,0.979084088,52,1,6.43E-16,1,0.866025404,0.5,0
5,2022-01-01 05:00:00+00:00,2022-01-01 06:00:00+01:00,58.8555,0,7.344,1868.233,10.26,6,-0.068242413,0.997668769,52,1,6.43E-16,1,0.866025404,0.5,0
6,2022-01-01 06:00:00+00:00,2022-01-01 07:00:00+01:00,62.727,0,7.298,1839.029,10.114,7,-0.334879612,0.942260922,52,1,6.43E-16,1,0.866025404,0.5,0
7,2022-01-01 07:00:00+00:00,2022-01-01 08:00:00+01:00,72.007,0,7.259,1742.628,9.68,8,-0.576680322,0.816969893,52,1,6.43E-16,1,0.866025404,0.5,0
8,2022-01-01 08:00:00+00:00,2022-01-01 09:00:00+01:00,101.5725,0.015,7.283,1599.292,9.124,9,-0.775711291,0.631087944,52,1,6.43E-16,1,0.866025404,0.5,0
9,2022-01-01 09:00:00+00:00,2022-01-01 10:00:00+01:00,111.3455,0.058,7.533,1549.966,8.95,10,-0.917211302,0.39840109,52,1,6.43E-16,1,0.866025404,0.5,0
10,2022-01-01 10:00:00+00:00,2022-01-01 11:00:00+01:00,121.945,0.072,7.856,1581.356,9.053,11,-0.990685946,0.136166649,52,1,6.43E-16,1,0.866025404,0.5,0
11,2022-01-01 11:00:00+00:00,2022-01-01 12:00:00+01:00,137.373,0.054,8.139,1531.691,8.888,12,-0.990685946,-0.136166649,52,1,6.43E-16,1,0.866025404,0.5,0
12,2022-01-01 12:00:00+00:00,2022-01-01 13:00:00+01:00,140.36,0.036,8.384,1581.186,9.05,13,-0.917211302,-0.39840109,52,1,6.43E-16,1,0.866025404,0.5,0
13,2022-01-01 13:00:00+00:00,2022-01-01 14:00:00+01:00,140.8965,0.015,8.55,1600.048,9.127,14,-0.775711291,-0.631087944,52,1,6.43E-16,1,0.866025404,0.5,0
14,2022-01-01 14:00:00+00:00,2022-01-01 15:00:00+01:00,146.45,0.002,8.736,1611.055,9.163,15,-0.576680322,-0.816969893,52,1,6.43E-16,1,0.866025404,0.5,0
15,2022-01-01 15:00:00+00:00,2022-01-01 16:00:00+01:00,183.57,0,8.824,1737.851,9.66,16,-0.334879612,-0.942260922,52,1,6.43E-16,1,0.866025404,0.5,0
16,2022-01-01 16:00:00+00:00,2022-01-01 17:00:00+01:00,217.4565,0,8.953,1929.196,10.58,17,-0.068242413,-0.997668769,52,1,6.43E-16,1,0.866025404,0.5,0
17,2022-01-01 17:00:00+00:00,2022-01-01 18:00:00+01:00,212.1785,0,9.069,1997.861,11.023,18,0.203456013,-0.979084088,52,1,6.43E-16,1,0.866025404,0.5,0
18,2022-01-01 18:00:00+00:00,2022-01-01 19:00:00+01:00,203.406,0,8.998,2018.374,11.169,19,0.460065038,-0.887885218,52,1,6.43E-16,1,0.866025404,0.5,0
19,2022-01-01 19:00:00+00:00,2022-01-01 20:00:00+01:00,176.726,0,8.872,2026.165,11.227,20,0.682553143,-0.730835964,52,1,6.43E-16,1,0.866025404,0.5,0
20,2022-01-01 20:00:00+00:00,2022-01-01 21:00:00+01:00,148.7845,0,8.728,2026.498,11.229,21,0.854419405,-0.51958395,52,1,6.43E-16,1,0.866025404,0.5,0
21,2022-01-01 21:00:00+00:00,2022-01-01 22:00:00+01:00,141.317,0,8.568,1997.945,11.024,22,0.962917287,-0.269796771,52,1,6.43E-16,1,0.866025404,0.5,0
22,2022-01-01 22:00:00+00:00,2022-01-01 23:00:00+01:00,123.482,0,8.401,1941.295,10.661,23,1,-2.45E-16,52,1,6.43E-16,1,0.866025404,0.5,0
23,2022-01-01 23:00:00+00:00,2022-01-02 00:00:00+01:00,82.766,0,8.321,1891.43,10.37,0,1,0,52,1,6.43E-16,1,0.866025404,0.5,0
24,2022-01-02 00:00:00+00:00,2022-01-02 01:00:00+01:00,76.2555,0,8.373,1904.359,10.445,1,0.962917287,0.269796771,52,1,6.43E-16,1,0.866025404,0.5,0
25,2022-01-02 01:00:00+00:00,2022-01-02 02:00:00+01:00,71.0065,0,8.335,1765.204,9.776,2,0.854419405,0.51958395,52,1,6.43E-16,1,0.866025404,0.5,0
26,2022-01-02 02:00:00+00:00,2022-01-02 03:00:00+01:00,50.663,0,8.225,1698.743,9.493,3,0.682553143,0.730835964,52,1,6.43E-16,1,0.866025404,0.5,0
27,2022-01-02 03:00:00+00:00,2022-01-02 04:00:00+01:00,42.862,0,8.172,1716.417,9.571,4,0.460065038,0.887885218,52,1,6.43E-16,1,0.866025404,0.5,0
28,2022-01-02 04:00:00+00:00,2022-01-02 05:00:00+01:00,49.2565,0,8.286,1856.524,10.196,5,0.203456013,0.979084088,52,1,6.43E-16,1,0.866025404,0.5,0
