date,hour,pool_price
01.01.2022,0:00,50.05
01.01.2022,1:00,41.33
01.01.2022,2:00,43.22
01.01.2022,3:00,45.46
01.01.2022,4:00,37.67
01.01.2022,5:00,39.7
01.01.2022,6:00,40.59
01.01.2022,7:00,43.26
01.01.2022,8:00,49.66
01.01.2022,9:00,70.05
01.01.2022,10:00,76.79
01.01.2022,11:00,84.1
01.01.2022,12:00,94.74
01.01.2022,13:00,96.8
01.01.2022,14:00,97.17
01.01.2022,15:00,101
01.01.2022,16:00,126.6
01.01.2022,17:00,149.97
01.01.2022,18:00,146.33
01.01.2022,19:00,140.28
01.01.2022,20:00,121.88
01.01.2022,21:00,102.61
01.01.2022,22:00,97.46
01.01.2022,23:00,85.16
02.01.2022,0:00,57.08
02.01.2022,1:00,52.59
02.01.2022,2:00,48.97
02.01.2022,3:00,34.94
02.01.2022,4:00,29.56
02.01.2022,5:00,33.97
02.01.2022,6:00,34.52
02.01.2022,7:00,41.8
02.01.2022,8:00,48.95
02.01.2022,9:00,60.01
02.01.2022,10:00,70.09
02.01.2022,11:00,66.26
02.01.2022,12:00,64.54
02.01.2022,13:00,46.96
02.01.2022,14:00,40.01
02.01.2022,15:00,29.11
02.01.2022,16:00,32.76
02.01.2022,17:00,42.97
02.01.2022,18:00,60.96
02.01.2022,19:00,60.94
02.01.2022,20:00,54.12
02.01.2022,21:00,46.16
02.01.2022,22:00,46.29
02.01.2022,23:00,32.93
03.01.2022,0:00,0.31
03.01.2022,1:00,-0.01
03.01.2022,2:00,-0.07
03.01.2022,3:00,-1.05
03.01.2022,4:00,-1
03.01.2022,5:00,0.32
03.01.2022,6:00,37.55
03.01.2022,7:00,88.76
03.01.2022,8:00,122.93
03.01.2022,9:00,110.17
03.01.2022,10:00,93.38
03.01.2022,11:00,90.73
03.01.2022,12:00,82.37
03.01.2022,13:00,80.9
03.01.2022,14:00,80.99
03.01.2022,15:00,98.05
03.01.2022,16:00,123.51
03.01.2022,17:00,148.49
03.01.2022,18:00,138
03.01.2022,19:00,117.64
03.01.2022,20:00,117.71
03.01.2022,21:00,95.95
03.01.2022,22:00,105.68
03.01.2022,23:00,95.26
04.01.2022,0:00,103.7
04.01.2022,1:00,108.27
04.01.2022,2:00,105.92
04.01.2022,3:00,103.41
04.01.2022,4:00,102.71
04.01.2022,5:00,114.23
04.01.2022,6:00,156.91
04.01.2022,7:00,182.64
04.01.2022,8:00,178.91
04.01.2022,9:00,190
04.01.2022,10:00,189.88
04.01.2022,11:00,182.42
04.01.2022,12:00,182.46
04.01.2022,13:00,179.59
04.01.2022,14:00,179
04.01.2022,15:00,180.93
04.01.2022,16:00,166.69
04.01.2022,17:00,189.88
04.01.2022,18:00,184.94
04.01.2022,19:00,178.99
04.01.2022,20:00,156.12
04.01.2022,21:00,140.92
04.01.2022,22:00,137.92
04.01.2022,23:00,97.56
05.01.2022,0:00,105.31
05.01.2022,1:00,97.29
05.01.2022,2:00,84.5
05.01.2022,3:00,75.38
05.01.2022,4:00,79.11
05.01.2022,5:00,94.79
05.01.2022,6:00,99.16
05.01.2022,7:00,101.15
05.01.2022,8:00,129.56
05.01.2022,9:00,113.37
05.01.2022,10:00,94.43
05.01.2022,11:00,98.1
05.01.2022,12:00,95.68
05.01.2022,13:00,96.8
05.01.2022,14:00,107.32
05.01.2022,15:00,119.48
05.01.2022,16:00,137.28
05.01.2022,17:00,148.09
05.01.2022,18:00,139.88
05.01.2022,19:00,135.75
05.01.2022,20:00,119.93
05.01.2022,21:00,98.09
05.01.2022,22:00,118.71
05.01.2022,23:00,99.68
06.01.2022,0:00,99.85
06.01.2022,1:00,101.32
06.01.2022,2:00,110.01
06.01.2022,3:00,111.55
06.01.2022,4:00,123.37
06.01.2022,5:00,149.94
06.01.2022,6:00,185.92
06.01.2022,7:00,228.25
06.01.2022,8:00,228.92
06.01.2022,9:00,212.9
06.01.2022,10:00,215.5
06.01.2022,11:00,231.9
06.01.2022,12:00,226
06.01.2022,13:00,209.2
06.01.2022,14:00,216.06
06.01.2022,15:00,230.77
06.01.2022,16:00,245.95
06.01.2022,17:00,274.11
06.01.2022,18:00,273.44
06.01.2022,19:00,245.48
06.01.2022,20:00,226.14
06.01.2022,21:00,208.31
06.01.2022,22:00,178.75
06.01.2022,23:00,124.7
07.01.2022,0:00,128.92
07.01.2022,1:00,118.4
07.01.2022,2:00,103.01
07.01.2022,3:00,101.91
07.01.2022,4:00,101.98
07.01.2022,5:00,114.99
07.01.2022,6:00,140.19
07.01.2022,7:00,152.64
07.01.2022,8:00,160.97
07.01.2022,9:00,161.85
07.01.2022,10:00,161.37
07.01.2022,11:00,166.06
07.01.2022,12:00,166.54
07.01.2022,13:00,166.04
07.01.2022,14:00,169.43
07.01.2022,15:00,189.7
07.01.2022,16:00,201.97
07.01.2022,17:00,243.11
07.01.2022,18:00,253.81
07.01.2022,19:00,237.05
07.01.2022,20:00,224.33
07.01.2022,21:00,213.81
07.01.2022,22:00,185.94
07.01.2022,23:00,148.32
08.01.2022,0:00,164.17
08.01.2022,1:00,152.83
08.01.2022,2:00,166
08.01.2022,3:00,160.86
08.01.2022,4:00,160
08.01.2022,5:00,154.3
08.01.2022,6:00,166
08.01.2022,7:00,182.91
08.01.2022,8:00,215.89
08.01.2022,9:00,231
08.01.2022,10:00,228.95
08.01.2022,11:00,215.39
08.01.2022,12:00,206.68
08.01.2022,13:00,185
08.01.2022,14:00,169.52
08.01.2022,15:00,162.8
08.01.2022,16:00,161.34
08.01.2022,17:00,189.9
08.01.2022,18:00,170.71
08.01.2022,19:00,140.23
08.01.2022,20:00,102.54
08.01.2022,21:00,102.18
08.01.2022,22:00,102.29
08.01.2022,23:00,90.05
09.01.2022,0:00,85.03
09.01.2022,1:00,84.4
09.01.2022,2:00,80.24
09.01.2022,3:00,55.46
09.01.2022,4:00,49.29
09.01.2022,5:00,50.64
09.01.2022,6:00,74.29
09.01.2022,7:00,84.44
09.01.2022,8:00,97.26
09.01.2022,9:00,119.97
09.01.2022,10:00,134.96
09.01.2022,11:00,149.4
09.01.2022,12:00,165.13
09.01.2022,13:00,165.06
09.01.2022,14:00,170.09
09.01.2022,15:00,189.04
09.01.2022,16:00,190.96
09.01.2022,17:00,223.3
09.01.2022,18:00,243.94
09.01.2022,19:00,240
09.01.2022,20:00,230.82
09.01.2022,21:00,214.02
09.01.2022,22:00,215.88
09.01.2022,23:00,203.8
10.01.2022,0:00,196.23
10.01.2022,1:00,191.85
10.01.2022,2:00,195.91
10.01.2022,3:00,186.66
10.01.2022,4:00,178.04
10.01.2022,5:00,191.65
10.01.2022,6:00,237.44
10.01.2022,7:00,299.95
10.01.2022,8:00,313.92
10.01.2022,9:00,315
10.01.2022,10:00,310.41
10.01.2022,11:00,310.08
10.01.2022,12:00,300
10.01.2022,13:00,297.01
10.01.2022,14:00,299.96
10.01.2022,15:00,306.45
10.01.2022,16:00,302.73
10.01.2022,17:00,315.47
10.01.2022,18:00,310.82
10.01.2022,19:00,294.98
10.01.2022,20:00,267.45
10.01.2022,21:00,242.29
10.01.2022,22:00,217.03
10.01.2022,23:00,195.83
11.01.2022,0:00,210.34
11.01.2022,1:00,202.42
11.01.2022,2:00,197.6
11.01.2022,3:00,193
11.01.2022,4:00,194.9
11.01.2022,5:00,204.45
11.01.2022,6:00,237.13
11.01.2022,7:00,298.68
11.01.2022,8:00,302.02
11.01.2022,9:00,297.16
11.01.2022,10:00,277.02
11.01.2022,11:00,266.43
11.01.2022,12:00,254.92
11.01.2022,13:00,248.89
11.01.2022,14:00,255.01
11.01.2022,15:00,277.9
11.01.2022,16:00,289.94
11.01.2022,17:00,316.4
11.01.2022,18:00,315.9
11.01.2022,19:00,309.2
11.01.2022,20:00,285.33
11.01.2022,21:00,245.44
11.01.2022,22:00,237.27
11.01.2022,23:00,212.49
12.01.2022,0:00,196.65
12.01.2022,1:00,187.1
12.01.2022,2:00,184.27
12.01.2022,3:00,179.58
12.01.2022,4:00,178.33
12.01.2022,5:00,193.5
12.01.2022,6:00,240.56
12.01.2022,7:00,273.18
12.01.2022,8:00,300.1
12.01.2022,9:00,292.74
12.01.2022,10:00,275.5
12.01.2022,11:00,258.65
12.01.2022,12:00,245.11
12.01.2022,13:00,232.08
12.01.2022,14:00,234.77
12.01.2022,15:00,240.01
12.01.2022,16:00,255
12.01.2022,17:00,284.82
12.01.2022,18:00,285.97
12.01.2022,19:00,269.03
12.01.2022,20:00,235.25
12.01.2022,21:00,191.5
12.01.2022,22:00,193.69
12.01.2022,23:00,172.18
13.01.2022,0:00,173.14
