# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 54.200, 8.900 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "54.2", "lon": "8.9", "date_from": "2022-01-01", "date_to": "2022-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2022-01-01 00:00,2022-01-01 01:00,0,0,0,7.601
2022-01-01 01:00,2022-01-01 02:00,0,0,0,7.652
2022-01-01 02:00,2022-01-01 03:00,0,0,0,7.739
2022-01-01 03:00,2022-01-01 04:00,0,0,0,7.673
2022-01-01 04:00,2022-01-01 05:00,0,0,0,7.516
2022-01-01 05:00,2022-01-01 06:00,0,0,0,7.344
2022-01-01 06:00,2022-01-01 07:00,0,0,0,7.298
2022-01-01 07:00,2022-01-01 08:00,0,0,0,7.259
2022-01-01 08:00,2022-01-01 09:00,0.015,0.007,0.021,7.283
2022-01-01 09:00,2022-01-01 10:00,0.058,0.020,0.057,7.533
2022-01-01 10:00,2022-01-01 11:00,0.072,0.019,0.073,7.856
2022-01-01 11:00,2022-01-01 12:00,0.054,0.010,0.063,8.139
2022-01-01 12:00,2022-01-01 13:00,0.036,0.005,0.048,8.384
2022-01-01 13:00,2022-01-01 14:00,0.015,0.002,0.025,8.550
2022-01-01 14:00,2022-01-01 15:00,0.002,0.001,0.008,8.736
2022-01-01 15:00,2022-01-01 16:00,0,0,0,8.824
2022-01-01 16:00,2022-01-01 17:00,0,0,0,8.953
2022-01-01 17:00,2022-01-01 18:00,0,0,0,9.069
2022-01-01 18:00,2022-01-01 19:00,0,0,0,8.998
2022-01-01 19:00,2022-01-01 20:00,0,0,0,8.872
2022-01-01 20:00,2022-01-01 21:00,0,0,0,8.728
2022-01-01 21:00,2022-01-01 22:00,0,0,0,8.568
2022-01-01 22:00,2022-01-01 23:00,0,0,0,8.401
2022-01-01 23:00,2022-01-02 00:00,0,0,0,8.321
2022-01-02 00:00,2022-01-02 01:00,0,0,0,8.373
2022-01-02 01:00,2022-01-02 02:00,0,0,0,8.335
2022-01-02 02:00,2022-01-02 03:00,0,0,0,8.225
2022-01-02 03:00,2022-01-02 04:00,0,0,0,8.172
2022-01-02 04:00,2022-01-02 05:00,0,0,0,8.286
2022-01-02 05:00,2022-01-02 06:00,0,0,0,8.379
2022-01-02 06:00,2022-01-02 07:00,0,0,0,8.544
2022-01-02 07:00,2022-01-02 08:00,0,0,0,8.718
2022-01-02 08:00,2022-01-02 09:00,0,0,0.004,8.937
2022-01-02 09:00,2022-01-02 10:00,0.005,0.001,0.014,9.132
2022-01-02 10:00,2022-01-02 11:00,0.008,0.001,0.018,9.170
2022-01-02 11:00,2022-01-02 12:00,0.004,0,0.012,9.029
2022-01-02 12:00,2022-01-02 13:00,0.003,0,0.011,8.759
2022-01-02 13:00,2022-01-02 14:00,0.004,0,0.012,8.496
2022-01-02 14:00,2022-01-02 15:00,0,0,0.004,8.355
2022-01-02 15:00,2022-01-02 16:00,0,0,0,8.252
2022-01-02 16:00,2022-01-02 17:00,0,0,0,8.024
2022-01-02 17:00,2022-01-02 18:00,0,0,0,7.805
2022-01-02 18:00,2022-01-02 19:00,0,0,0,7.645
2022-01-02 19:00,2022-01-02 20:00,0,0,0,7.324
2022-01-02 20:00,2022-01-02 21:00,0,0,0,6.954
2022-01-02 21:00,2022-01-02 22:00,0,0,0,6.745
2022-01-02 22:00,2022-01-02 23:00,0,0,0,6.877
2022-01-02 23:00,2022-01-03 00:00,0,0,0,7.086
2022-01-03 00:00,2022-01-03 01:00,0,0,0,7.233
2022-01-03 01:00,2022-01-03 02:00,0,0,0,7.256
2022-01-03 02:00,2022-01-03 03:00,0,0,0,7.117
2022-01-03 03:00,2022-01-03 04:00,0,0,0,7.033
2022-01-03 04:00,2022-01-03 05:00,0,0,0,6.950
2022-01-03 05:00,2022-01-03 06:00,0,0,0,6.803
2022-01-03 06:00,2022-01-03 07:00,0,0,0,6.739
2022-01-03 07:00,2022-01-03 08:00,0,0,0.001,6.794
2022-01-03 08:00,2022-01-03 09:00,0.029,0.019,0.026,6.958
2022-01-03 09:00,2022-01-03 10:00,0.127,0.081,0.068,7.181
2022-01-03 10:00,2022-01-03 11:00,0.236,0.176,0.090,7.498
2022-01-03 11:00,2022-01-03 12:00,0.282,0.222,0.094,7.818
2022-01-03 12:00,2022-01-03 13:00,0.237,0.181,0.086,7.946
2022-01-03 13:00,2022-01-03 14:00,0.139,0.099,0.064,7.812
2022-01-03 14:00,2022-01-03 15:00,0.028,0.022,0.022,7.498
2022-01-03 15:00,2022-01-03 16:00,0,0,0,7.231
2022-01-03 16:00,2022-01-03 17:00,0,0,0,7.140
2022-01-03 17:00,2022-01-03 18:00,0,0,0,7.128
2022-01-03 18:00,2022-01-03 19:00,0,0,0,6.901
2022-01-03 19:00,2022-01-03 20:00,0,0,0,6.798
2022-01-03 20:00,2022-01-03 21:00,0,0,0,6.659
2022-01-03 21:00,2022-01-03 22:00,0,0,0,6.557
2022-01-03 22:00,2022-01-03 23:00,0,0,0,6.590
2022-01-03 23:00,2022-01-04 00:00,0,0,0,6.634
2022-01-04 00:00,2022-01-04 01:00,0,0,0,6.578
2022-01-04 01:00,2022-01-04 02:00,0,0,0,6.461
2022-01-04 02:00,2022-01-04 03:00,0,0,0,6.365
2022-01-04 03:00,2022-01-04 04:00,0,0,0,6.304
2022-01-04 04:00,2022-01-04 05:00,0,0,0,6.244
2022-01-04 05:00,2022-01-04 06:00,0,0,0,6.210
2022-01-04 06:00,2022-01-04 07:00,0,0,0,6.144
2022-01-04 07:00,2022-01-04 08:00,0,0,0,5.974
2022-01-04 08:00,2022-01-04 09:00,0,0,0.005,5.686
2022-01-04 09:00,2022-01-04 10:00,0.006,0.001,0.015,5.266
2022-01-04 10:00,2022-01-04 11:00,0.013,0.001,0.024,4.748
2022-01-04 11:00,2022-01-04 12:00,0.023,0.002,0.036,4.332
2022-01-04 12:00,2022-01-04 13:00,0.043,0.007,0.053,4.333
2022-01-04 13:00,2022-01-04 14:00,0.063,0.022,0.059,4.557
2022-01-04 14:00,2022-01-04 15:00,0.022,0.014,0.023,4.362
2022-01-04 15:00,2022-01-04 16:00,0,0,0,3.766
2022-01-04 16:00,2022-01-04 17:00,0,0,0,3.959
2022-01-04 17:00,2022-01-04 18:00,0,0,0,4.310
2022-01-04 18:00,2022-01-04 19:00,0,0,0,4.316
2022-01-04 19:00,2022-01-04 20:00,0,0,0,4.208
2022-01-04 20:00,2022-01-04 21:00,0,0,0,4.058
2022-01-04 21:00,2022-01-04 22:00,0,0,0,3.963
2022-01-04 22:00,2022-01-04 23:00,0,0,0,3.878
2022-01-04 23:00,2022-01-05 00:00,0,0,0,3.866
2022-01-05 00:00,2022-01-05 01:00,0,0,0,4.076
2022-01-05 01:00,2022-01-05 02:00,0,0,0,4.178
2022-01-05 02:00,2022-01-05 03:00,0,0,0,4.156
2022-01-05 03:00,2022-01-05 04:00,0,0,0,4.183
2022-01-05 04:00,2022-01-05 05:00,0,0,0,4.316
2022-01-05 05:00,2022-01-05 06:00,0,0,0,4.566
2022-01-05 06:00,2022-01-05 07:00,0,0,0,4.678
2022-01-05 07:00,2022-01-05 08:00,0,0,0,4.485
2022-01-05 08:00,2022-01-05 09:00,0.001,0.001,0.008,4.191
2022-01-05 09:00,2022-01-05 10:00,0.013,0.002,0.024,4.503
2022-01-05 10:00,2022-01-05 11:00,0.068,0.017,0.070,5.221
2022-01-05 11:00,2022-01-05 12:00,0.156,0.075,0.104,5.749
2022-01-05 12:00,2022-01-05 13:00,0.141,0.071,0.092,5.766
2022-01-05 13:00,2022-01-05 14:00,0.095,0.050,0.065,5.538
2022-01-05 14:00,2022-01-05 15:00,0.025,0.016,0.023,5.084
2022-01-05 15:00,2022-01-05 16:00,0,0,0,4.524
2022-01-05 16:00,2022-01-05 17:00,0,0,0,4.145
2022-01-05 17:00,2022-01-05 18:00,0,0,0,3.814
2022-01-05 18:00,2022-01-05 19:00,0,0,0,3.418
2022-01-05 19:00,2022-01-05 20:00,0,0,0,3.152
2022-01-05 20:00,2022-01-05 21:00,0,0,0,2.770
2022-01-05 21:00,2022-01-05 22:00,0,0,0,2.067
2022-01-05 22:00,2022-01-05 23:00,0,0,0,1.060
2022-01-05 23:00,2022-01-06 00:00,0,0,0,0.320
2022-01-06 00:00,2022-01-06 01:00,0,0,0,-0.039
2022-01-06 01:00,2022-01-06 02:00,0,0,0,-0.156
2022-01-06 02:00,2022-01-06 03:00,0,0,0,-0.059
2022-01-06 03:00,2022-01-06 04:00,0,0,0,0.208
2022-01-06 04:00,2022-01-06 05:00,0,0,0,0.503
2022-01-06 05:00,2022-01-06 06:00,0,0,0,0.766
2022-01-06 06:00,2022-01-06 07:00,0,0,0,0.989
2022-01-06 07:00,2022-01-06 08:00,0,0.001,0.001,1.309
2022-01-06 08:00,2022-01-06 09:00,0.085,0.071,0.033,2.026
2022-01-06 09:00,2022-01-06 10:00,0.295,0.263,0.060,3.156
2022-01-06 10:00,2022-01-06 11:00,0.423,0.399,0.066,4.008
2022-01-06 11:00,2022-01-06 12:00,0.444,0.419,0.070,4.364
2022-01-06 12:00,2022-01-06 13:00,0.377,0.344,0.069,4.334
2022-01-06 13:00,2022-01-06 14:00,0.233,0.198,0.059,3.667
2022-01-06 14:00,2022-01-06 15:00,0.059,0.050,0.026,2.597
2022-01-06 15:00,2022-01-06 16:00,0,0,0,1.883
2022-01-06 16:00,2022-01-06 17:00,0,0,0,1.758
2022-01-06 17:00,2022-01-06 18:00,0,0,0,1.769
2022-01-06 18:00,2022-01-06 19:00,0,0,0,1.958
2022-01-06 19:00,2022-01-06 20:00,0,0,0,2.192
2022-01-06 20:00,2022-01-06 21:00,0,0,0,2.318
2022-01-06 21:00,2022-01-06 22:00,0,0,0,2.359
2022-01-06 22:00,2022-01-06 23:00,0,0,0,2.391
2022-01-06 23:00,2022-01-07 00:00,0,0,0,2.443
2022-01-07 00:00,2022-01-07 01:00,0,0,0,2.423
2022-01-07 01:00,2022-01-07 02:00,0,0,0,2.281
2022-01-07 02:00,2022-01-07 03:00,0,0,0,2.220
2022-01-07 03:00,2022-01-07 04:00,0,0,0,2.121
2022-01-07 04:00,2022-01-07 05:00,0,0,0,2.016
2022-01-07 05:00,2022-01-07 06:00,0,0,0,1.853
2022-01-07 06:00,2022-01-07 07:00,0,0,0,1.706
2022-01-07 07:00,2022-01-07 08:00,0,0,0,1.742
2022-01-07 08:00,2022-01-07 09:00,0.005,0.002,0.013,2.016
2022-01-07 09:00,2022-01-07 10:00,0.036,0.009,0.044,2.628
2022-01-07 10:00,2022-01-07 11:00,0.131,0.059,0.092,3.470
2022-01-07 11:00,2022-01-07 12:00,0.239,0.160,0.105,4.182
2022-01-07 12:00,2022-01-07 13:00,0.247,0.180,0.093,4.519
2022-01-07 13:00,2022-01-07 14:00,0.146,0.099,0.069,4.546
2022-01-07 14:00,2022-01-07 15:00,0.031,0.021,0.025,4.254
2022-01-07 15:00,2022-01-07 16:00,0,0,0,3.863
2022-01-07 16:00,2022-01-07 17:00,0,0,0,3.636
2022-01-07 17:00,2022-01-07 18:00,0,0,0,3.179
2022-01-07 18:00,2022-01-07 19:00,0,0,0,2.852
2022-01-07 19:00,2022-01-07 20:00,0,0,0,2.914
2022-01-07 20:00,2022-01-07 21:00,0,0,0,3.015
2022-01-07 21:00,2022-01-07 22:00,0,0,0,2.951
2022-01-07 22:00,2022-01-07 23:00,0,0,0,2.752
2022-01-07 23:00,2022-01-08 00:00,0,0,0,2.611
2022-01-08 00:00,2022-01-08 01:00,0,0,0,2.508
2022-01-08 01:00,2022-01-08 02:00,0,0,0,2.391
2022-01-08 02:00,2022-01-08 03:00,0,0,0,2.404
2022-01-08 03:00,2022-01-08 04:00,0,0,0,2.546
2022-01-08 04:00,2022-01-08 05:00,0,0,0,2.754
2022-01-08 05:00,2022-01-08 06:00,0,0,0,2.937
2022-01-08 06:00,2022-01-08 07:00,0,0,0,3.178
2022-01-08 07:00,2022-01-08 08:00,0,0,0.001,3.360
2022-01-08 08:00,2022-01-08 09:00,0.015,0.006,0.022,3.542
2022-01-08 09:00,2022-01-08 10:00,0.079,0.031,0.067,3.828
2022-01-08 10:00,2022-01-08 11:00,0.138,0.062,0.096,4.028
2022-01-08 11:00,2022-01-08 12:00,0.124,0.047,0.098,3.945
2022-01-08 12:00,2022-01-08 13:00,0.085,0.025,0.079,3.706
2022-01-08 13:00,2022-01-08 14:00,0.048,0.013,0.051,3.461
2022-01-08 14:00,2022-01-08 15:00,0.009,0.004,0.016,3.106
2022-01-08 15:00,2022-01-08 16:00,0,0,0,2.777
2022-01-08 16:00,2022-01-08 17:00,0,0,0,2.576
2022-01-08 17:00,2022-01-08 18:00,0,0,0,2.357
2022-01-08 18:00,2022-01-08 19:00,0,0,0,1.972
2022-01-08 19:00,2022-01-08 20:00,0,0,0,1.391
2022-01-08 20:00,2022-01-08 21:00,0,0,0,1.304
2022-01-08 21:00,2022-01-08 22:00,0,0,0,1.529
2022-01-08 22:00,2022-01-08 23:00,0,0,0,1.866
2022-01-08 23:00,2022-01-09 00:00,0,0,0,2.163
2022-01-09 00:00,2022-01-09 01:00,0,0,0,2.400
2022-01-09 01:00,2022-01-09 02:00,0,0,0,2.398
2022-01-09 02:00,2022-01-09 03:00,0,0,0,2.164
2022-01-09 03:00,2022-01-09 04:00,0,0,0,1.973
2022-01-09 04:00,2022-01-09 05:00,0,0,0,1.816
2022-01-09 05:00,2022-01-09 06:00,0,0,0,1.617
2022-01-09 06:00,2022-01-09 07:00,0,0,0,1.551
2022-01-09 07:00,2022-01-09 08:00,0,0,0,1.660
2022-01-09 08:00,2022-01-09 09:00,0.003,0.001,0.011,1.976
2022-01-09 09:00,2022-01-09 10:00,0.016,0.002,0.028,2.456
2022-01-09 10:00,2022-01-09 11:00,0.016,0.001,0.028,2.961
2022-01-09 11:00,2022-01-09 12:00,0.014,0.001,0.025,3.415
2022-01-09 12:00,2022-01-09 13:00,0.011,0.001,0.022,3.848
2022-01-09 13:00,2022-01-09 14:00,0.006,0.001,0.015,4.229
2022-01-09 14:00,2022-01-09 15:00,0.001,0,0.006,4.472
2022-01-09 15:00,2022-01-09 16:00,0,0,0,4.601
2022-01-09 16:00,2022-01-09 17:00,0,0,0,4.646
2022-01-09 17:00,2022-01-09 18:00,0,0,0,4.661
2022-01-09 18:00,2022-01-09 19:00,0,0,0,4.695
2022-01-09 19:00,2022-01-09 20:00,0,0,0,4.670
2022-01-09 20:00,2022-01-09 21:00,0,0,0,4.535
2022-01-09 21:00,2022-01-09 22:00,0,0,0,4.325
2022-01-09 22:00,2022-01-09 23:00,0,0,0,4.033
2022-01-09 23:00,2022-01-10 00:00,0,0,0,3.740
2022-01-10 00:00,2022-01-10 01:00,0,0,0,3.538
2022-01-10 01:00,2022-01-10 02:00,0,0,0,3.402
2022-01-10 02:00,2022-01-10 03:00,0,0,0,3.295
2022-01-10 03:00,2022-01-10 04:00,0,0,0,3.155
2022-01-10 04:00,2022-01-10 05:00,0,0,0,3.072
2022-01-10 05:00,2022-01-10 06:00,0,0,0,2.969
2022-01-10 06:00,2022-01-10 07:00,0,0,0,2.911
2022-01-10 07:00,2022-01-10 08:00,0,0,0.001,2.717
2022-01-10 08:00,2022-01-10 09:00,0.019,0.007,0.025,2.820
2022-01-10 09:00,2022-01-10 10:00,0.064,0.020,0.062,3.164
2022-01-10 10:00,2022-01-10 11:00,0.101,0.033,0.088,3.502
2022-01-10 11:00,2022-01-10 12:00,0.110,0.035,0.095,3.748
2022-01-10 12:00,2022-01-10 13:00,0.088,0.026,0.081,3.874
2022-01-10 13:00,2022-01-10 14:00,0.049,0.014,0.053,3.849
2022-01-10 14:00,2022-01-10 15:00,0.010,0.004,0.017,3.529
2022-01-10 15:00,2022-01-10 16:00,0,0,0,3.065
2022-01-10 16:00,2022-01-10 17:00,0,0,0,2.858
2022-01-10 17:00,2022-01-10 18:00,0,0,0,2.660
2022-01-10 18:00,2022-01-10 19:00,0,0,0,2.492
2022-01-10 19:00,2022-01-10 20:00,0,0,0,2.367
2022-01-10 20:00,2022-01-10 21:00,0,0,0,2.326
2022-01-10 21:00,2022-01-10 22:00,0,0,0,2.392
2022-01-10 22:00,2022-01-10 23:00,0,0,0,2.532
2022-01-10 23:00,2022-01-11 00:00,0,0,0,2.543
2022-01-11 00:00,2022-01-11 01:00,0,0,0,2.426
2022-01-11 01:00,2022-01-11 02:00,0,0,0,2.408
2022-01-11 02:00,2022-01-11 03:00,0,0,0,2.498
2022-01-11 03:00,2022-01-11 04:00,0,0,0,2.444
2022-01-11 04:00,2022-01-11 05:00,0,0,0,2.384
2022-01-11 05:00,2022-01-11 06:00,0,0,0,2.279
2022-01-11 06:00,2022-01-11 07:00,0,0,0,2.044
2022-01-11 07:00,2022-01-11 08:00,0,0,0.001,1.859
2022-01-11 08:00,2022-01-11 09:00,0.014,0.005,0.022,1.761
2022-01-11 09:00,2022-01-11 10:00,0.033,0.006,0.043,1.665
2022-01-11 10:00,2022-01-11 11:00,0.049,0.007,0.058,1.828
2022-01-11 11:00,2022-01-11 12:00,0.056,0.008,0.065,2.083
2022-01-11 12:00,2022-01-11 13:00,0.053,0.009,0.062,2.383
2022-01-11 13:00,2022-01-11 14:00,0.041,0.009,0.048,2.586
2022-01-11 14:00,2022-01-11 15:00,0.024,0.012,0.027,2.547
2022-01-11 15:00,2022-01-11 16:00,0,0,0,2.173
2022-01-11 16:00,2022-01-11 17:00,0,0,0,2.274
2022-01-11 17:00,2022-01-11 18:00,0,0,0,2.490
2022-01-11 18:00,2022-01-11 19:00,0,0,0,2.568
2022-01-11 19:00,2022-01-11 20:00,0,0,0,2.762
2022-01-11 20:00,2022-01-11 21:00,0,0,0,2.911
2022-01-11 21:00,2022-01-11 22:00,0,0,0,3.023
2022-01-11 22:00,2022-01-11 23:00,0,0,0,3.139
2022-01-11 23:00,2022-01-12 00:00,0,0,0,3.305
2022-01-12 00:00,2022-01-12 01:00,0,0,0,3.457
2022-01-12 01:00,2022-01-12 02:00,0,0,0,3.679
2022-01-12 02:00,2022-01-12 03:00,0,0,0,4.006
2022-01-12 03:00,2022-01-12 04:00,0,0,0,4.243
2022-01-12 04:00,2022-01-12 05:00,0,0,0,3.978
2022-01-12 05:00,2022-01-12 06:00,0,0,0,3.579
2022-01-12 06:00,2022-01-12 07:00,0,0,0,3.372
2022-01-12 07:00,2022-01-12 08:00,0,0.002,0.002,3.194
2022-01-12 08:00,2022-01-12 09:00,0.099,0.078,0.041,3.522
2022-01-12 09:00,2022-01-12 10:00,0.218,0.167,0.076,4.743
2022-01-12 10:00,2022-01-12 11:00,0.276,0.209,0.096,5.570
2022-01-12 11:00,2022-01-12 12:00,0.254,0.177,0.105,5.860
2022-01-12 12:00,2022-01-12 13:00,0.202,0.129,0.098,5.899
2022-01-12 13:00,2022-01-12 14:00,0.082,0.037,0.064,5.708
2022-01-12 14:00,2022-01-12 15:00,0.016,0.007,0.021,5.384
2022-01-12 15:00,2022-01-12 16:00,0,0,0,5.113
2022-01-12 16:00,2022-01-12 17:00,0,0,0,5.024
2022-01-12 17:00,2022-01-12 18:00,0,0,0,4.958
2022-01-12 18:00,2022-01-12 19:00,0,0,0,4.919
2022-01-12 19:00,2022-01-12 20:00,0,0,0,4.901
2022-01-12 20:00,2022-01-12 21:00,0,0,0,4.913
2022-01-12 21:00,2022-01-12 22:00,0,0,0,5.002
2022-01-12 22:00,2022-01-12 23:00,0,0,0,5.139
2022-01-12 23:00,2022-01-13 00:00,0,0,0,5.240
2022-01-13 00:00,2022-01-13 01:00,0,0,0,5.288
2022-01-13 01:00,2022-01-13 02:00,0,0,0,5.300
2022-01-13 02:00,2022-01-13 03:00,0,0,0,5.316
2022-01-13 03:00,2022-01-13 04:00,0,0,0,5.357
2022-01-13 04:00,2022-01-13 05:00,0,0,0,5.398
2022-01-13 05:00,2022-01-13 06:00,0,0,0,5.419
2022-01-13 06:00,2022-01-13 07:00,0,0,0,5.469
2022-01-13 07:00,2022-01-13 08:00,0,0,0.001,5.565
2022-01-13 08:00,2022-01-13 09:00,0.008,0.002,0.017,5.697
2022-01-13 09:00,2022-01-13 10:00,0.020,0.002,0.032,5.825
2022-01-13 10:00,2022-01-13 11:00,0.030,0.003,0.042,5.941
2022-01-13 11:00,2022-01-13 12:00,0.034,0.003,0.047,6.061
2022-01-13 12:00,2022-01-13 13:00,0.032,0.003,0.045,6.167
2022-01-13 13:00,2022-01-13 14:00,0.020,0.002,0.032,6.203
2022-01-13 14:00,2022-01-13 15:00,0.005,0.001,0.013,6.141
2022-01-13 15:00,2022-01-13 16:00,0,0,0,6.069
2022-01-13 16:00,2022-01-13 17:00,0,0,0,6.135
2022-01-13 17:00,2022-01-13 18:00,0,0,0,6.215
2022-01-13 18:00,2022-01-13 19:00,0,0,0,6.253
2022-01-13 19:00,2022-01-13 20:00,0,0,0,6.324
2022-01-13 20:00,2022-01-13 21:00,0,0,0,6.419
2022-01-13 21:00,2022-01-13 22:00,0,0,0,6.487
2022-01-13 22:00,2022-01-13 23:00,0,0,0,6.480
2022-01-13 23:00,2022-01-14 00:00,0,0,0,6.395
2022-01-14 00:00,2022-01-14 01:00,0,0,0,6.263
2022-01-14 01:00,2022-01-14 02:00,0,0,0,6.143
2022-01-14 02:00,2022-01-14 03:00,0,0,0,6.012
2022-01-14 03:00,2022-01-14 04:00,0,0,0,5.921
2022-01-14 04:00,2022-01-14 05:00,0,0,0,5.786
2022-01-14 05:00,2022-01-14 06:00,0,0,0,5.795
2022-01-14 06:00,2022-01-14 07:00,0,0,0,5.879
2022-01-14 07:00,2022-01-14 08:00,0,0,0.002,6.053
2022-01-14 08:00,2022-01-14 09:00,0.009,0.003,0.018,6.450
2022-01-14 09:00,2022-01-14 10:00,0.030,0.005,0.040,6.751
2022-01-14 10:00,2022-01-14 11:00,0.062,0.012,0.069,6.912
2022-01-14 11:00,2022-01-14 12:00,0.093,0.023,0.090,7.005
2022-01-14 12:00,2022-01-14 13:00,0.090,0.026,0.085,6.915
2022-01-14 13:00,2022-01-14 14:00,0.082,0.032,0.070,6.643
2022-01-14 14:00,2022-01-14 15:00,0.028,0.013,0.030,6.098
2022-01-14 15:00,2022-01-14 16:00,0,0,0.001,5.237
2022-01-14 16:00,2022-01-14 17:00,0,0,0,4.711
2022-01-14 17:00,2022-01-14 18:00,0,0,0,3.999
2022-01-14 18:00,2022-01-14 19:00,0,0,0,3.480
2022-01-14 19:00,2022-01-14 20:00,0,0,0,3.070
2022-01-14 20:00,2022-01-14 21:00,0,0,0,2.707
2022-01-14 21:00,2022-01-14 22:00,0,0,0,2.394
2022-01-14 22:00,2022-01-14 23:00,0,0,0,2.136
2022-01-14 23:00,2022-01-15 00:00,0,0,0,1.948
