# Renewables.ninja Weather (Point API) - 54.200, 8.900 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Berlin, t2m in ºC, prectotland in mm/h, precsnoland in mm/h, snomas in kg/m², rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "t2m": "\u00baC", "prectotland": "mm/h", "precsnoland": "mm/h", "snomas": "kg/m\u00b2", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": true, "header": true, "lat": "54.2", "lon": "8.9", "date_from": "2022-01-01", "date_to": "2022-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": true, "var_precsnoland": true, "var_snomas": true, "var_rhoa": true, "var_swgdn": true, "var_swtdn": true, "var_cldtot": true}}
time,local_time,t2m,prectotland,precsnoland,snomas,rhoa,swgdn,swtdn,cldtot
2022-01-01 00:00,2022-01-01 01:00,7.601,0.044,0,0.010,1.252,0,0,0.978
2022-01-01 01:00,2022-01-01 02:00,7.652,0.042,0,0.010,1.252,0,0,0.986
2022-01-01 02:00,2022-01-01 03:00,7.739,0.033,0,0.009,1.253,0,0,0.991
2022-01-01 03:00,2022-01-01 04:00,7.673,0.021,0,0.008,1.254,0,0,0.928
2022-01-01 04:00,2022-01-01 05:00,7.516,0.015,0,0.008,1.254,0,0,0.925
2022-01-01 05:00,2022-01-01 06:00,7.344,0.014,0,0.007,1.256,0,0,0.886
2022-01-01 06:00,2022-01-01 07:00,7.298,0.016,0,0.007,1.256,0,0,0.906
2022-01-01 07:00,2022-01-01 08:00,7.259,0.023,0,0.006,1.257,0.402,2.787,0.974
2022-01-01 08:00,2022-01-01 09:00,7.283,0.035,0,0.005,1.258,23.506,100.159,0.970
2022-01-01 09:00,2022-01-01 10:00,7.533,0.049,0,0.004,1.258,65.962,216.426,0.983
