# Renewables.ninja Wind power (Point API) - 54.200, 8.900 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "54.2", "lon": "8.9", "date_from": "2022-01-01", "date_to": "2022-12-31", "dataset": "merra2", "capacity": "2300", "height": "100", "turbine": "Siemens SWT 2.3 101", "raw": true}}
time,local_time,electricity,wind_speed
2022-01-01 00:00,2022-01-01 01:00,1900.744,10.423
2022-01-01 01:00,2022-01-01 02:00,1924.543,10.564
2022-01-01 02:00,2022-01-01 03:00,1941.502,10.663
2022-01-01 03:00,2022-01-01 04:00,1888.168,10.362
2022-01-01 04:00,2022-01-01 05:00,1920.721,10.542
2022-01-01 05:00,2022-01-01 06:00,1868.233,10.260
2022-01-01 06:00,2022-01-01 07:00,1839.029,10.114
2022-01-01 07:00,2022-01-01 08:00,1742.628,9.680
2022-01-01 08:00,2022-01-01 09:00,1599.292,9.124
2022-01-01 09:00,2022-01-01 10:00,1549.966,8.950
2022-01-01 10:00,2022-01-01 11:00,1581.356,9.053
2022-01-01 11:00,2022-01-01 12:00,1531.691,8.888
2022-01-01 12:00,2022-01-01 13:00,1581.186,9.050
2022-01-01 13:00,2022-01-01 14:00,1600.048,9.127
2022-01-01 14:00,2022-01-01 15:00,1611.055,9.163
2022-01-01 15:00,2022-01-01 16:00,1737.851,9.660
2022-01-01 16:00,2022-01-01 17:00,1929.196,10.580
2022-01-01 17:00,2022-01-01 18:00,1997.861,11.023
2022-01-01 18:00,2022-01-01 19:00,2018.374,11.169
2022-01-01 19:00,2022-01-01 20:00,2026.165,11.227
2022-01-01 20:00,2022-01-01 21:00,2026.498,11.229
2022-01-01 21:00,2022-01-01 22:00,1997.945,11.024
